date, value
2020-09-14 08:41, 8642
2020-09-14 05:13, 8642
2020-09-12 01:11, 9533
2020-09-11 06:59, 10535
2020-09-10 13:14, 11169
2020-09-09 08:04, 11143
2020-09-08 08:35, 11140
2020-09-07 16:04, 11136
2020-09-07 13:55, 10535
2020-09-07 13:17, 11129
2020-09-07 12:30, 11128
2020-09-07 05:59, 11128
2020-09-01 11:46, 11126
2020-09-01 08:06, 11126
2020-08-31 09:19, 11122
2020-08-28 22:30, 10532
2020-08-28 20:18, 10531
2020-08-28 13:37, 10530
2020-08-28 10:57, 9529
2020-08-27 12:37, 11083
2020-08-27 04:06, 11083
2020-08-26 08:00, 11078
2020-08-25 15:33, 11058
2020-08-25 12:03, 8642
2020-08-25 07:49, 10524
2020-08-24 09:56, 9527
2020-08-24 08:22, 9527
2020-08-20 08:47, 11036
2020-08-19 17:34, 10524
2020-08-19 08:07, 9527
2020-08-18 22:38, 10523
2020-08-17 23:41, 11017
2020-08-17 18:33, 10507
2020-08-17 11:26, 11014
2020-08-14 22:11, 10506
2020-08-13 16:01, 10506
2020-08-13 11:03, 11004
2020-08-13 07:43, 10509
2020-08-12 18:19, 10509
2020-08-12 13:42, 10507
2020-08-12 10:40, 10986
2020-08-12 07:48, 9513
2020-08-11 15:28, 10979
2020-08-11 13:34, 10978
2020-08-11 11:53, 10978
2020-08-11 11:50, 10504
2020-08-11 11:14, 10977
2020-08-10 14:05, 10501
2020-08-10 12:23, 10498
2020-08-10 08:49, 10498
2020-08-07 13:42, 10498
2020-08-07 08:58, 10973
2020-08-07 08:58, 10973
2020-08-07 08:58, 10973
2020-08-07 08:44, 10973
2020-08-06 17:17, 10972
2020-08-06 12:34, 10973
2020-08-06 07:40, 10972
2020-08-05 21:41, 10972
2020-08-05 15:59, 10498
2020-08-05 07:27, 10960
2020-08-04 17:14, 10955
2020-08-04 13:57, 9507
2020-08-04 11:26, 10948
2020-08-03 18:21, 9507
2020-08-03 12:58, 8642
2020-08-01 17:59, 10497
2020-07-30 19:57, 10940
2020-07-30 11:12, 10493
2020-07-30 07:48, 9505
2020-07-29 16:46, 10929
2020-07-29 10:05, 10928
2020-07-28 14:30, 10916
2020-07-28 12:35, 10916
2020-07-28 12:21, 9504
2020-07-27 16:06, 10916
2020-07-27 14:23, 10492
2020-07-27 12:28, 9504
2020-07-27 09:12, 10882
2020-07-26 09:08, 9500
2020-07-25 08:14, 10882
2020-07-25 05:26, 10882
2020-07-24 14:54, 10882
2020-07-24 13:27, 8642
2020-07-24 11:07, 8642
2020-07-24 09:50, 10488
2020-07-24 04:09, 8642
2020-07-23 20:05, 10487
2020-07-23 16:16, 10833
2020-07-23 07:36, 10831
2020-07-23 04:03, 10806
2020-07-23 01:50, 10538
2020-07-22 19:38, 10537
2020-07-22 16:47, 10537
